5
4
2 1 3 4
A 2 3 1 4
B 3 1 4 2
C 4 2 2 3
D 3 2 1 4
E 2 3 3 1
3
3
3 2 1
A 2 1 3
B 2 3 1
C 1 2 3
10
9
1 6 4 3 2 8 7 5 9
A 5 8 1 1 1 5 1 6 1
B 4 7 2 2 1 4 1 7 1
C 3 6 3 7 1 2 1 8 1
D 7 5 4 8 1 3 1 5 1
E 7 4 5 6 1 3 1 4 1
F 5 3 6 3 1 2 1 3 1
G 3 2 7 2 1 1 1 2 1
H 2 6 8 1 1 5 1 8 1
I 1 7 9 9 1 6 1 9 1
J 1 2 2 5 1 8 1 4 1
1000
10
1 2 3 4 5 6 7 8 9 10
2-N 1 8 5 5 2 4 8 6 4 8 
M=6 6 3 8 8 4 3 1 8 5 8 
>/7 7 8 7 7 7 2 1 3 6 3 
D0? 6 2 3 2 7 5 2 7 2 7 
(<5 8 1 8 5 8 8 3 7 6 1 
IC+ 7 4 1 8 8 2 7 7 6 7 
A2. 8 1 5 5 2 7 2 4 2 1 
4+5 6 7 6 1 2 4 5 6 7 6 
F1G 7 7 5 2 2 3 3 7 1 3 
2(I 1 4 5 5 4 6 7 6 4 8 
*?B 2 6 4 2 3 7 3 3 1 4 
N(H 8 6 5 6 5 4 1 3 4 1 
+23 1 4 2 3 7 4 6 5 2 5 
4K* 4 6 4 8 8 6 5 5 7 1 
+F7 5 5 3 6 5 3 7 8 7 8 
0CA 5 3 3 7 1 2 7 4 1 4 
K;- 4 6 6 2 3 1 5 4 8 2 
1:( 8 1 1 6 6 2 3 3 2 2 
6(N 7 8 8 5 1 4 2 4 8 2 
4>A 2 1 2 5 2 1 3 1 3 7 
69E 6 2 7 3 5 3 2 3 2 6 
=6) 7 2 5 1 7 7 1 1 1 2 
.<O 3 6 7 5 1 5 1 3 7 1 
A?@ 8 3 3 8 4 6 2 2 2 1 
?0N 5 3 6 5 8 6 7 5 8 5 
=@@ 8 3 6 1 2 8 4 2 7 7 
G.I 5 3 7 2 5 3 4 1 8 6 
B/* 8 7 1 1 6 6 3 7 6 8 
;+K 6 6 6 7 5 8 4 2 2 5 
EIN 3 2 4 8 5 1 8 1 8 6 
.F( 1 7 1 7 3 3 1 6 5 6 
7/- 7 7 8 7 3 3 2 7 4 1 
4E7 4 2 7 7 1 5 1 5 7 5 
+4. 4 7 3 6 5 1 7 4 2 1 
.+7 7 5 2 5 7 6 1 8 7 7 
LF> 7 2 5 8 2 7 5 1 8 4 
<D: 2 8 8 2 1 5 6 6 7 4 
52H 3 2 2 5 8 3 8 1 3 5 
J6K 3 5 3 7 2 6 8 3 5 2 
O?F 3 1 8 1 6 2 6 4 5 3 
K6; 2 7 4 8 4 1 8 2 3 1 
7L2 5 3 4 7 1 2 1 2 1 8 
-3J 5 6 4 7 3 4 4 6 5 2 
KBF 8 6 5 1 8 5 1 4 6 3 
LE1 6 3 3 1 8 3 5 5 4 2 
D=H 1 4 5 1 2 5 2 3 3 3 
?(K 6 2 4 8 4 5 1 1 6 2 
5:1 5 1 2 4 4 7 4 2 5 6 
KA( 3 5 8 3 1 6 1 8 6 4 
-;E 2 5 7 3 3 2 5 1 1 1 
*LI 6 5 6 2 4 5 3 4 3 4 
,8- 5 3 3 8 5 1 8 7 6 8 
818 6 1 1 3 5 8 4 2 8 5 
3<N 5 2 3 8 1 6 7 2 6 2 
E*< 8 8 1 1 5 3 8 1 8 3 
8NK 2 1 8 5 7 8 4 6 4 7 
9IJ 7 4 3 8 7 3 3 1 8 4 
+NO 8 6 7 6 7 8 8 2 4 7 
/*8 7 6 7 4 2 6 2 6 5 5 
IL9 2 6 7 3 5 7 6 7 8 7 
GEM 5 8 6 3 5 1 8 4 4 6 
.:2 4 7 3 4 1 1 7 4 7 2 
6-2 3 4 5 7 7 1 6 2 1 3 
*0N 7 8 8 6 1 6 7 3 4 8 
<=C 7 8 5 6 6 3 2 3 6 5 
HDH 1 6 1 3 4 2 2 2 3 7 
9-. 6 3 8 8 5 1 2 2 3 7 
E6@ 7 1 6 1 4 2 8 3 6 1 
4+9 3 3 5 5 1 1 5 5 5 7 
5H( 6 4 6 6 8 3 8 7 4 2 
<08 2 2 8 1 2 6 7 1 7 8 
AIG 6 7 1 2 2 3 2 4 4 4 
?L. 1 1 5 7 1 1 3 5 7 4 
??A 6 8 8 7 5 1 8 1 5 2 
E4+ 2 1 8 7 6 3 1 1 5 6 
;)K 5 5 2 7 3 5 5 5 5 2 
<AN 5 1 1 4 8 7 5 8 7 3 
A*B 3 4 5 2 3 4 7 5 4 3 
MDJ 2 6 5 5 7 4 2 7 7 1 
),H 6 5 8 7 3 5 7 6 2 1 
O:N 1 7 3 2 6 1 7 1 5 7 
82< 2 8 8 5 3 5 1 4 7 3 
CA+ 4 8 2 1 5 5 1 7 4 3 
8@9 8 3 7 1 7 4 5 6 3 7 
GDF 4 4 5 3 5 6 5 5 6 7 
J>. 7 2 6 7 5 4 8 8 5 6 
CD= 2 1 3 1 1 4 3 7 1 6 
3,H 6 1 7 3 4 8 4 5 6 3 
)=2 3 7 7 8 6 7 5 8 4 4 
1@I 4 3 3 6 4 4 6 7 7 7 
)31 7 2 8 5 6 3 5 7 1 4 
(/M 4 5 7 2 6 6 6 6 4 2 
4MK 6 7 4 5 1 7 5 5 1 3 
*NC 8 1 1 3 7 3 5 5 8 2 
O<, 4 6 5 4 1 5 5 7 6 6 
5@9 2 5 4 4 2 7 3 8 6 5 
?*8 1 4 3 6 6 4 8 8 4 8 
L@4 4 3 7 3 3 6 6 3 1 8 
-:M 2 2 2 6 1 1 3 5 5 2 
=N) 7 5 5 7 5 5 8 8 3 8 
-70 7 3 1 8 4 2 2 6 3 6 
GBM 8 3 6 8 2 3 3 3 7 2 
H26 5 5 1 8 3 1 3 7 2 8 
<?F 4 6 3 5 7 7 2 6 6 5 
/8E 7 1 8 1 2 2 6 1 5 6 
C68 7 3 1 6 3 2 3 4 8 5 
)22 1 1 6 8 8 7 4 5 2 3 
M.G 3 7 6 7 1 5 2 4 8 7 
>K4 8 1 3 8 4 7 6 8 2 6 
8>C 7 7 7 5 1 2 5 4 8 4 
D+> 4 1 7 1 2 1 1 6 8 4 
12H 1 4 7 1 2 3 3 3 7 4 
B7H 4 3 7 1 5 6 7 8 4 6 
-+7 3 4 1 8 4 5 3 2 1 2 
AH2 4 7 2 6 6 2 6 4 6 7 
IIH 5 4 8 6 6 6 1 7 8 7 
6JM 1 1 5 3 1 2 2 3 2 1 
EF, 1 4 8 5 6 2 1 6 8 8 
56< 8 7 4 4 8 7 7 6 1 6 
I4B 6 5 4 4 4 2 8 5 6 6 
I5- 2 7 3 2 2 2 8 5 2 4 
LC( 8 8 4 8 6 2 3 1 5 4 
.;: 2 4 8 2 2 5 2 7 6 1 
7K; 5 3 1 4 2 5 7 4 2 8 
-DK 6 1 2 6 3 2 6 6 1 5 
A(1 3 5 2 3 8 1 1 3 5 8 
M-2 5 6 1 8 4 7 5 3 7 1 
D(D 3 2 7 5 7 4 4 8 2 2 
2OO 1 6 6 2 1 2 5 1 5 8 
B+* 7 4 8 4 4 4 2 2 7 7 
;O/ 5 6 3 3 5 7 8 4 6 8 
AD( 5 5 6 6 3 1 4 6 5 8 
(GG 7 7 7 3 7 2 2 8 6 7 
E/7 8 2 5 1 5 3 6 4 8 6 
?)< 4 5 4 8 7 3 5 6 8 2 
E6* 4 5 1 7 6 8 5 8 2 3 
,=4 6 1 3 8 1 2 3 3 7 6 
7GN 4 5 6 8 8 7 6 5 7 2 
4+( 6 4 5 2 2 4 3 5 5 5 
7+/ 5 1 7 6 8 6 1 7 4 8 
248 2 7 7 8 7 1 7 1 5 7 
C>9 1 4 4 7 1 3 7 7 3 6 
F*4 5 1 3 2 5 3 8 7 2 5 
ECB 3 3 2 1 2 1 2 4 6 6 
3AH 1 4 6 8 2 1 7 5 4 7 
F72 3 6 6 7 7 6 2 4 8 5 
?2: 6 8 7 7 3 8 5 6 3 4 
./7 6 7 2 8 5 4 6 8 6 4 
HIG 5 4 4 1 8 1 6 6 3 8 
B?9 7 7 5 1 3 4 6 4 1 3 
3O( 2 5 5 8 4 1 1 5 4 1 
617 1 5 6 3 8 4 3 1 5 7 
9E. 3 2 3 5 2 1 2 8 7 1 
.:= 5 5 8 3 7 2 7 8 3 2 
FC7 7 6 8 5 7 1 2 2 6 7 
1LJ 2 1 4 3 4 5 8 4 7 7 
/1N 3 8 3 8 8 5 7 7 3 4 
)22 1 3 3 8 6 6 4 8 8 6 
;,F 2 7 8 8 7 7 3 7 7 2 
OEJ 6 1 1 8 5 4 8 2 4 5 
,N+ 5 7 1 3 3 7 7 2 3 8 
H8B 3 8 4 3 1 3 2 7 8 3 
KO+ 1 1 5 7 2 8 8 6 2 5 
I:M 2 8 6 3 1 3 5 8 1 1 
F.= 7 7 3 5 4 2 3 2 6 6 
B>G 8 4 8 1 3 5 7 1 1 3 
/B0 6 4 2 1 1 7 5 6 1 2 
;B* 6 1 7 5 2 8 7 3 3 1 
))D 2 3 4 6 4 1 8 3 5 7 
*AC 7 8 1 7 3 4 4 3 7 6 
6;- 2 8 8 3 4 1 8 3 5 2 
25C 4 7 7 2 2 6 8 4 2 7 
0:E 5 6 4 3 6 1 2 3 8 1 
608 8 6 3 3 6 7 5 5 1 5 
;C; 6 5 6 1 1 6 7 6 4 3 
L2? 2 1 3 4 7 4 8 7 7 3 
,K- 3 8 1 5 1 8 6 2 4 6 
BIN 6 3 6 4 3 4 8 1 6 4 
3=I 1 6 6 8 2 5 2 8 3 8 
?M3 1 5 4 7 3 6 6 7 7 6 
,4N 6 8 1 6 5 7 1 2 8 8 
<;= 1 6 1 3 4 1 5 1 4 3 
DI* 5 8 1 2 1 5 5 2 7 3 
LB7 7 8 1 1 6 8 3 7 5 1 
G;/ 1 7 8 3 5 3 7 4 2 2 
.BK 8 8 3 2 3 1 6 1 3 5 
O4C 7 4 2 1 8 2 6 8 5 7 
4@F 5 7 8 5 7 8 4 7 8 4 
=3A 6 7 1 6 2 8 8 7 4 3 
1-2 8 8 8 4 1 8 6 5 5 7 
-HI 1 7 8 8 1 6 7 2 5 7 
FI@ 4 6 8 1 4 6 4 4 8 5 
H96 5 6 1 2 1 8 7 3 7 1 
O?5 5 3 1 3 1 2 5 4 5 8 
D86 4 4 3 1 3 1 4 6 2 1 
07H 7 8 3 5 5 8 5 1 1 1 
;@; 5 7 8 8 6 3 7 6 4 4 
OEG 8 2 6 4 3 7 8 3 4 5 
/)7 7 8 2 4 4 7 5 7 5 6 
G/8 8 6 1 3 5 3 7 7 1 3 
:CF 6 6 2 1 2 6 8 3 5 7 
:,( 1 2 8 4 5 8 2 7 8 3 
-.) 8 2 5 7 5 7 6 6 2 7 
@79 1 3 1 4 7 6 2 5 2 5 
I@J 5 4 8 7 3 1 8 2 7 6 
DF4 6 4 3 8 3 3 1 1 7 8 
F;= 4 8 4 6 6 7 2 6 2 3 
E8= 5 4 3 3 5 4 6 4 8 7 
02/ 4 5 7 7 4 2 3 7 5 8 
C*( 8 5 6 4 2 5 5 7 7 5 
G:6 4 7 1 4 2 3 4 4 3 5 
J8G 5 1 7 8 5 5 3 5 4 1 
H=A 5 7 3 6 1 1 3 1 7 4 
D,D 4 5 5 6 1 7 1 3 8 4 
*J( 2 2 7 8 7 2 8 5 6 6 
+>< 7 1 6 7 6 1 7 7 2 6 
*F) 1 4 3 5 3 3 7 1 7 1 
5HA 4 2 2 7 8 4 1 5 8 8 
B.F 1 1 2 1 5 6 2 7 2 4 
4(6 7 6 4 1 8 3 1 1 5 6 
C8F 6 6 5 1 5 5 4 5 3 7 
HH> 6 5 8 3 6 7 7 5 6 3 
(L( 3 1 6 4 3 5 5 7 1 5 
1,N 6 5 7 4 8 6 2 4 6 4 
,3( 7 6 2 8 3 5 2 5 3 3 
JK9 3 2 7 5 1 6 2 6 1 2 
F/8 3 6 5 5 6 5 2 3 6 8 
=,1 6 8 4 4 2 8 5 5 4 8 
?-4 4 1 3 7 4 4 7 8 2 4 
KBA 2 6 1 5 3 3 4 7 8 3 
1C( 7 5 8 8 6 1 4 4 2 1 
(L= 1 3 3 5 4 5 7 5 6 7 
8HD 3 6 4 5 7 1 1 4 6 2 
O3F 8 2 2 1 6 1 6 6 2 2 
;9J 6 8 4 2 7 5 1 1 6 7 
MA/ 8 7 1 4 2 4 2 6 6 5 
3?- 3 2 8 2 5 8 1 8 4 2 
M:7 4 2 7 2 3 3 4 5 2 7 
@FN 1 2 2 1 3 2 5 5 2 8 
)=5 8 5 2 5 6 2 8 7 8 1 
K;3 8 2 5 2 3 3 4 5 7 7 
F7H 6 8 7 3 2 6 6 8 3 8 
5?- 4 7 2 2 2 3 5 1 2 4 
O)B 6 2 7 1 6 4 2 8 4 1 
(AI 2 7 3 6 3 3 5 2 8 5 
6AD 4 7 7 5 4 7 2 5 1 5 
/10 8 4 2 8 6 2 5 3 2 6 
E>. 6 4 5 7 5 4 4 8 1 3 
,K? 2 4 3 2 3 2 4 1 4 2 
LMI 2 1 4 2 1 1 8 3 1 6 
)1N 7 7 2 8 1 1 1 2 8 2 
((9 5 2 1 3 3 5 7 6 2 4 
>F0 1 8 3 2 6 3 8 3 3 5 
H:* 7 7 6 2 7 4 2 6 4 7 
/F8 4 4 2 5 3 6 2 7 1 2 
JH= 7 1 1 2 5 3 7 3 7 8 
)O> 2 5 5 6 2 1 3 2 7 5 
+I3 2 3 2 7 6 7 4 3 5 2 
>/1 7 8 2 6 4 2 5 7 4 6 
56) 7 4 3 8 5 1 4 3 2 5 
*(2 2 5 2 5 4 8 4 8 2 4 
+-, 8 3 4 6 6 8 4 6 1 8 
(B? 5 7 8 6 4 1 6 2 1 8 
>K2 3 8 1 5 1 2 7 4 2 1 
G<I 2 5 5 2 5 2 8 7 4 6 
N>* 1 4 8 8 3 8 7 4 5 5 
><M 7 7 2 4 6 2 2 5 8 1 
>J6 3 8 4 8 2 2 8 8 2 3 
:1F 8 6 4 6 1 1 6 6 4 1 
AOO 7 4 5 1 4 4 1 8 5 7 
N>3 4 5 8 5 4 6 2 8 3 4 
,1L 5 2 6 8 7 7 8 2 4 5 
8,K 1 2 7 3 8 4 1 7 6 1 
BJA 8 7 1 5 8 4 7 5 8 7 
2AN 2 5 1 1 8 5 4 5 6 8 
-N< 6 1 1 7 1 1 1 2 8 2 
.J@ 8 3 3 2 4 5 6 8 3 5 
EB. 1 4 1 3 7 8 5 4 7 6 
:)D 2 5 6 2 4 8 2 3 5 2 
1:? 5 3 5 3 5 3 2 8 8 6 
/?4 3 3 2 2 5 8 2 6 3 1 
1+* 7 5 7 5 2 7 7 3 3 3 
L9, 1 7 7 3 8 5 6 2 6 7 
